Designated Use,Production Area,Classification Zone,Species(a),Classification,Explanatory Note(b),Local Authority,RMP ID,RMP Name,England or Wales
Production,Poole Harbour,SW Brownsea Island,C. gigas,A,N/A,Poole BC,B54CK,West Brownsea 3 (W. Cardinal),England
Production,Poole Harbour,SW Brownsea Island,O. edulis,A,N/A,Poole BC,B54CK,West Brownsea 3 (W. Cardinal),England
Production,Poole Harbour,SW Brownsea Island,C. edule,Seasonal A/B,"Class A season - 1st April – 30th September 
(reverting to class B at all other times)",Poole BC,B54CL,West Brownsea 3 (W. Cardinal),England
Production,Poole Harbour,SW Brownsea Island,Tapes spp.,Seasonal A/B,"Class A season - 1st April – 30th September 
(reverting to class B at all other times)",Poole BC,B54CL,West Brownsea 3 (W. Cardinal),England
Production,Poole Harbour,SW Brownsea Island,M. mercenaria,Seasonal A/B,"Class A season - 1st April – 30th September 
(reverting to class B at all other times)",Poole BC,B54CL,West Brownsea 3 (W. Cardinal),England
Production,Poole Harbour,SW Brownsea Island,Mytilus spp.,Seasonal A/B,"Class A season - 1st April – 30th September 
(reverting to class B at all other times)",Poole BC,B54CL,West Brownsea 3 (W. Cardinal),England
Production,Poole Harbour,Whitley Lake (revised zone),Tapes spp.,B-LT,N/A,Poole BC,B54CP,Whitley Lake,England
Production,Poole Harbour,Whitley Lake (revised zone),C. edule,B-LT,N/A,Poole BC,B54CP,Whitley Lake,England
Production,Poole Harbour,Whitley Lake (revised zone),M. mercenaria,B-LT,N/A,Poole BC,B54CP,Whitley Lake,England
Production,Poole Harbour,Brands Bay,C. edule,A,N/A,Poole BC,B54CX,Redhorn Quay,England
Production,Poole Harbour,Brands Bay,Tapes spp.,A,N/A,Poole BC,B54CX,Redhorn Quay,England
Production,Poole Harbour,Brands Bay,M. mercenaria,A,N/A,Poole BC,B54CX,Redhorn Quay,England
Production,Porthallow,Porthallow Cove North,Mytilus spp.,A,N/A,Cornwall PHA,B34AA,Porthallow North,England
Production,Portsmouth Harbour,East Harbour,M. mercenaria,B-LT,N/A,Portsmouth PHA,B020H,Paulsgrove,England
Production,Portsmouth Harbour,West Harbour,M. mercenaria,B-LT,N/A,Portsmouth PHA,B020R,Fareham Lake,England
Production,Portsmouth Harbour,West Harbour,O. edulis,B-LT,N/A,Portsmouth PHA,B020R,Fareham Lake,England
Production,Portsmouth Harbour,West Harbour,C. gigas,B-LT,N/A,Portsmouth PHA,B020R,Fareham Lake,England
Production,Portsmouth Harbour,Fareham Lake,M. mercenaria,B,4,Portsmouth PHA,B020S,Fareham Lake North,England
Production,Portsmouth Harbour,East Harbour,O. edulis,B-LT,N/A,Portsmouth PHA,B020W,Paulsgrove,England
Production,Portsmouth Harbour,East Harbour,C. gigas,B-LT,N/A,Portsmouth PHA,B020W,Paulsgrove,England
Production,Ribble,Ribble Walls North,Mytilus spp.,B,N/A,West Lancashire DC,B046C,Ribble Walls North,England
Production,Ribble,Penfold South,C. edule,C,1,West Lancashire DC,B046M,Penfold South,England
Production,Ribble,Penfold North,C. edule,C,1,West Lancashire DC,B46AA,Penfold North,England
Production,Roach,Paglesham Pool,C. gigas,Seasonal A,1 December - 31 August (reverting to class B at all other times) ,London PHA,B73AC,Pagelsham Pool,England
Production,Roach,Middleway,C. gigas,A,N/A,London PHA,B73AI,Rushey Island,England
Production,Roach,Middleway,M. mercenaria,A,N/A,London PHA,B73AI,Rushey Island,England
Production,Roach,Middleway,O. edulis,A,N/A,London PHA,B73AI,Rushey Island,England
Production,Roach,Inner Roach,O. edulis,B,4,London PHA,B73AJ,Barton Hall,England
Production,Roach,Inner Roach,C. gigas,B,4,London PHA,B73AJ,Barton Hall,England
Production,Roach,Inner Roach,M. mercenaria,B,4,London PHA,B73AJ,Barton Hall,England
Production,Roach,Barlinghall Creek,C. gigas,B,4,London PHA,B73AK,Barling Hall,England
Production,Roach,Barlinghall Creek,M. mercenaria,B,4,London PHA,B73AK,Barling Hall,England
Production,Roach,Barlinghall Creek,O. edulis,B,4,London PHA,B73AK,Barling Hall,England
Production,Roach,Paglesham Reach,C. gigas,A,N/A,London PHA,B73AL,Paglesham,England
Production,Roach,Paglesham Reach,M. mercenaria,A,N/A,London PHA,B73AL,Paglesham,England
Production,Roach,Paglesham Reach,O. edulis,A,N/A,London PHA,B73AL,Paglesham,England
Production,Solent,Chilling to Gilkicker Point,M. mercenaria,B-LT,N/A,"Southampton PHA, Isle of Wight Council",B24BK,Browndown,England
Production,Solent,Chilling to Gilkicker Point,O. edulis,B-LT,N/A,"Southampton PHA, Isle of Wight Council",B24BK,Browndown,England
Production,Solent,Ryde Middle & Sturbridge,O. edulis,B,N/A,"Southampton PHA, Isle of Wight Council",B24BM,Sturbridge,England
Production,Southampton Water,Near Netley,Tapes spp.,C,N/A,Southampton PHA ,B021U,Near Netley Castle,England
Production,Southampton Water,Hythe,Tapes spp.,C,N/A,Southampton PHA ,B021V,Hythe Knock,England
Production,Southampton Water,Bird Pile,Tapes spp.,C,N/A,Southampton PHA ,B021W,Bird Pile,England
Production,Southampton Water,Bird Pile,M. mercenaria,C,N/A,Southampton PHA ,B021W,Bird Pile,England
Production,Southampton Water,Hamble Estuary,M. mercenaria,B-LT,N/A,Southampton PHA ,B021Y,Hamble Estuary,England
Production,Southampton Water,Hamble Estuary,O. edulis,B-LT,N/A,Southampton PHA ,B021Y,Hamble Estuary,England
Production,Southampton Water,Hamble Estuary,C. gigas,B-LT,N/A,Southampton PHA ,B021Y,Hamble Estuary,England
Production,Southampton Water,Southampton Water – Off Fawley,M. mercenaria,B-LT,N/A,Southampton PHA ,B021Z,Off Fawley,England
Production,Southampton Water,Southampton Water – Off Fawley,O. edulis,B-LT,N/A,Southampton PHA ,B021Z,Off Fawley,England
Production,Southampton Water,Weston Shelf,Tapes spp.,C,N/A,Southampton PHA ,B21AE,Weston Shelf,England
Production,Southampton Water,Hamble Estuary,Tapes spp.,B,4,Southampton PHA ,B21AT,Hamble Estuary,England
Production,Southampton Water,Southampton Water – Off Fawley,Tapes spp.,B ,1,Southampton PHA ,B21AU,Off Fawley,England
Production,St Austell Bay,Ropehaven Outer,Ensis spp.,A,N/A,Cornwall PHA,B070AE,Ropehaven Outer (NE Corner),England
Production,St Austell Bay,Ropehaven Outer,Mytilus spp.,A,N/A,Cornwall PHA,B070AE,Ropehaven Outer (NE Corner),England
Production,St Austell Bay,Ropehaven,Mytilus spp.,Seasonal A/B,"Class A season - 1st June – 31st Janaury 
(reverting to class B at all other times)",Cornwall PHA,B070W,St Austell,England
Production,St Austell Bay,Landrion Point to Gerrans Point,Ensis spp.,B,N/A,Cornwall PHA,B70AO,Landrion Point to Gerrans Point,England
Production,Start Bay,Off Strete,S. solida,B-LT,N/A,South Hams DC,B087I,Off Strete,England
Production,Swale,Swale Inner,C. gigas,B-LT,N/A,Swale BC and London PHA,B076N,North of Fowley Island,England
Production,Swale,Swale Causeway,C. gigas,B-LT,N/A,Swale BC and London PHA,B076P,The Causeway,England
Production,Swale,Swale Causeway,O. edulis,B-LT,N/A,Swale BC and London PHA,B076P,The Causeway,England
Production,Swale,Swale Outer,C. gigas,B-LT,N/A,Swale BC and London PHA,B076Q,Graveney Marshes,England
Production,Swale,Swale Outer,C. edule,C,4,Swale BC and London PHA,B076V,Cleve Marsh,England
Production,Taw/Torridge,Coolstone,Mytilus spp.,B-LT,4,Torridge DC and North Devon DC,B036F,Coolstone,England
Production,Taw/Torridge,Outer Estuary (main beds),Mytilus spp.,B-LT,N/A,Torridge DC and North Devon DC,B036V,Neck Gut 1,England
Production,Taw/Torridge,Power Station,Mytilus spp.,B ,N/A,Torridge DC and North Devon DC,B36AA,Under Power Station Jetty,England
Production,Taw/Torridge,Lifeboat Slip,Mytilus spp.,B-LT,4,Torridge DC and North Devon DC,B36AC,Appledore,England
Production,Taw/Torridge,Zeta Berth,C. gigas,B-LT,N/A,Torridge DC and North Devon DC,B36AD,Zeta Berth,England
Production,Teign,Gas Works,Mytilus spp.,B-LT,N/A,Teignbridge DC  ,B27AC,Gas Works East,England
Production,Teign,Gas Works 2,C. gigas,Seasonal B/C,"Class B season - 1st February – 30th September 
(reverting to class C at all other times)",Teignbridge DC  ,B27AH,Gas Works Bank 2,England
Production,Teign,Labrador Bay,Mytilus spp.,B,1,Teignbridge DC  ,B27AI,Labrador Bay,England
Production,Thames Estuary,"East Cant, Middle and
Red Sand – TECFO Area 11",O. edulis,B-LT,,London PHA,B016R,Sheppey Barton Point,England
Production,Thames Estuary,"East Cant, Middle and
Red Sand – TECFO Area 11",C. edule,Preliminary - C,N/A,London PHA,B016R,Sheppey Barton Point,England
Production,Thames Estuary,North Sheppey,O. edulis,B-LT,,London PHA,B016R,Sheppey Barton Point,England
Production,Thames Estuary,North Sheppey,Mytilus spp.,B-LT,N/A,London PHA,B016R,Sheppey Barton Point,England
Production,Thames Estuary,"West Cant and
Scrapsgate – TECFO Area 13 (modified)",O. edulis,B-LT,,London PHA,B016R,Sheppey Barton Point,England
Production,Thames Estuary,"West Cant and
Scrapsgate – TECFO Area 13 (modified)",C. edule,B-LT,N/A,London PHA,B016R,Sheppey Barton Point,England
Production,Thames Estuary,Leigh Foreshore,C. edule,C,N/A,London PHA,B16AH,Leigh Foreshore,England
Production,Thames Estuary,Leigh Foreshore,Mytilus spp.,C,N/A,London PHA,B16AH,Leigh Foreshore,England
Production,Thames Estuary,Southend Flats,Mytilus spp.,B,4,London PHA,B16AX,Southend Leisure Centre,England
Production,Thames Estuary,Southend Flats,C. edule,B,4,London PHA,B16AX,Southend Leisure Centre,England
Production,Thames Estuary,Phoenix,C. edule,A,N/A,London PHA,B16BR,Phoenix,England
Production,Thames Estuary,West of Southend Pier,C. gigas,B-LT,N/A,London PHA,B16BS,West of Southend Pier,England
Production,Thames Estuary,East of Southend Pier,C. gigas,B-LT,N/A,London PHA,B16CK,East of Southend Pier,England
Production,Thames Estuary,Maplin West,C. edule,A,N/A,London PHA,B16CL,East of Shoebury Buoy,England
Production,Thames Estuary,Maplin Central,C. edule,A,N/A,London PHA,B16CM,East of Havengore Creek,England
Production,Thames Estuary,Barrows (Zone 12),C. edule,Seasonal A/B,"Class A season - 1st June – 31st October 
(reverting to class B at all other times)",London PHA,B16CN,Crouch Approaches,England
Production,Thames Estuary,East Barrows,C. edule,Seasonal A/B,"Class A season - 1st June – 31st October 
(reverting to class B at all other times)",London PHA,B16CN,Crouch Approaches,England
Production,Thames Estuary,Maplin East,C. edule,Seasonal A/B,"Class A season - 1st June – 31st October 
(reverting to class B at all other times)",London PHA,B16CN,Crouch Approaches,England
Production,Thames Estuary,Maplin East,Tapes spp.,Seasonal A/B,"Class A season - 1st June – 31st October 
(reverting to class B at all other times)",London PHA,B16CN,Crouch Approaches,England
Production,Thames Estuary,West Barrows (Zone 9),C. edule,Seasonal A/B,"Class A season - 1st June – 31st October 
(reverting to class B at all other times)",London PHA,B16CN,Crouch Approaches,England
Production,Thames Estuary,Barrow Deep,O. edulis,A,N/A,London PHA,B16CO,Barrow Deep,England
Production,Thames Estuary,Black Deep,Ensis spp.,A,N/A,London PHA,B16CP,Black Deep,England
Production,The Fleet,Fleet Oyster Farm,C. gigas,B-LT,N/A,Dorset Council,B25AI,Fleet Oysters,England
Production,The Wash,Welland and Witham Inner,Mytilus spp.,B-LT,N/A,"Boston BC, Kings Lynn & West Norfolk BC, Fenland DC",B003M,Welland Wall,England
Production,The Wash,"Mare Tail, Gat and Toft",Mytilus spp.,B-LT,N/A,"Boston BC, Kings Lynn & West Norfolk BC, Fenland DC",B003V,Toft,England
Production,The Wash,Freiston to Wainfleet,C. edule,B-LT,N/A,"Boston BC, Kings Lynn & West Norfolk BC, Fenland DC",B003X,North Lays,England
Production,The Wash,Heacham & Hunstanton,Mytilus spp.,B-LT,N/A,"Boston BC, Kings Lynn & West Norfolk BC, Fenland DC",B004L,Hunstanton Holmeside,England
Production,The Wash,Nene Mouth,Mytilus spp.,B-LT,N/A,"Boston BC, Kings Lynn & West Norfolk BC, Fenland DC",B04AL,Nene Mouth,England
Production,The Wash,Nene Mouth,C. edule,B-LT,N/A,"Boston BC, Kings Lynn & West Norfolk BC, Fenland DC",B04AL,Nene Mouth,England
Production,The Wash,Ouse Mouth,Mytilus spp.,B-LT,N/A,"Boston BC, Kings Lynn & West Norfolk BC, Fenland DC",B04AM,Ouse Mouth,England
Production,The Wash,Ouse Mouth,C. edule,B-LT,N/A,"Boston BC, Kings Lynn & West Norfolk BC, Fenland DC",B04AM,Ouse Mouth,England
Production,The Wash,Welland and Witham Outer,Mytilus spp.,B-LT,N/A,"Boston BC, Kings Lynn & West Norfolk BC, Fenland DC",B04AO,Black Buoy,England
Production,The Wash,Welland and Witham Outer,C. edule,B-LT,N/A,"Boston BC, Kings Lynn & West Norfolk BC, Fenland DC",B04AO,Black Buoy,England
Production,The Wash,Heacham & Hunstanton,C. edule,B-LT,N/A,"Boston BC, Kings Lynn & West Norfolk BC, Fenland DC",B04AP,Stubborn Sand,England
Production,Three Rivers,Tywi,C. edule,B,N/A,Carmarthenshire CC,B071B,Wharley Point,Wales
Production,Three Rivers,Taf,C. edule,C,N/A,Carmarthenshire CC,B071L,Laugharne,Wales
Production,Three Rivers,Gwendraeth,C. edule,B-LT,N/A,Carmarthenshire CC,B071O,Pastoun Scar,Wales
Production,West Mersea,Tollesbury North,C. gigas,B-LT,N/A,Colchester BC and Maldon,B013V,Tollesbury North,England
Production,West Mersea,Tollesbury North,O. edulis,B-LT,N/A,Colchester BC and Maldon,B013V,Tollesbury North,England
Production,West Mersea,Tollesbury North,M. mercenaria,B-LT,N/A,Colchester BC and Maldon,B013V,Tollesbury North,England
Production,West Mersea,Ray Creek,C. gigas,B-LT,N/A,Colchester BC and Maldon,B013Y,Ray Creek,England
Production,West Mersea,Ray Creek,O. edulis,B-LT,N/A,Colchester BC and Maldon,B013Y,Ray Creek,England
Production,West Mersea,Strood Channel,C. gigas,B-LT,N/A,Colchester BC and Maldon,B013Z,The Hard,England
Production,West Mersea,Strood Channel,O. edulis,B-LT,N/A,Colchester BC and Maldon,B013Z,The Hard,England
Production,West Mersea,Mersea Flats West,C. gigas,B-LT,N/A,Colchester BC and Maldon,B13AA,West Mersea Outfall,England
Production,West Mersea,Mersea Flats West,O. edulis,B-LT,N/A,Colchester BC and Maldon,B13AA,West Mersea Outfall,England
Production,West Mersea,Mersea Flats East,C. gigas,B-LT,N/A,Colchester BC and Maldon,B13AC,Coopers Beach,England
Production,West Mersea,Mersea Flats East,O. edulis,B-LT,N/A,Colchester BC and Maldon,B13AC,Coopers Beach,England
Production,West Mersea,Salcott Channel,C. gigas,B-LT,N/A,Colchester BC and Maldon,B13AG,Salcott Pacifics,England
Production,West Mersea,Salcott Channel,O. edulis,B-LT,N/A,Colchester BC and Maldon,B13AG,Salcott Pacifics,England
Production,West Mersea,Salcott Channel,M. mercenaria,B-LT,N/A,Colchester BC and Maldon,B13AG,Salcott Pacifics,England
Production,West Mersea,Little Ditch,C. gigas,Seasonal A,1 November - 31 July (reverting to class B at all other times) ,Colchester BC and Maldon,B13AH,Little Ditch,England
Production,West Mersea,Little Ditch,O. edulis,Seasonal A,1 November - 31 July (reverting to class B at all other times) ,Colchester BC and Maldon,B13AH,Little Ditch,England
Relay,Percuil,Percuil relay,Mytilus spp.,Seasonal A/B,"Class A season - 1st Jan – 31st October 
(reverting to class B at all other times)",Cornwall PHA,B33BL,Black Rock,England
Relay,Poole Harbour,South Deep,O. edulis,A,N/A,Poole BC,B54AS,South Deep Relay Area,England
Relay,Poole Harbour,West Brownsea Relay,C. edule,A,N/A,Poole BC,B54CV,West Brownsea Island Relay Area,England
Relay,Poole Harbour,West Brownsea Relay,Tapes spp.,A,N/A,Poole BC,B54CV,West Brownsea Island Relay Area,England
Relay,Poole Harbour,West Brownsea Relay,M. mercenaria,A,N/A,Poole BC,B54CV,West Brownsea Island Relay Area,England
Relay,Porlock,Porlock East relay,C. gigas,A,N/A,Somerset West and Taunton Council,B094D,Porlock East,England
Relay,Porlock,Porlock relay,C. gigas,A,N/A,Somerset West and Taunton Council,B094E,Porlock Relay,England
Relay,Porlock,Oyster Perch,C. gigas,A,N/A,Somerset West and Taunton Council,B094F,Oyster Perch,England
Relay,Porlock,Porlock Relay 2,C. gigas,A,N/A,Somerset West and Taunton Council,B094G,Porlock Relay 2,England
Relay,West Mersea,Old Hall Creek,C. gigas,B-LT,N/A,Colchester BC and Maldon,B13AE,Old Hall Creek,England
Relay,West Mersea,Old Hall Creek,O. edulis,B-LT,N/A,Colchester BC and Maldon,B13AE,Old Hall Creek,England
Relay,West Mersea,Old Hall Creek,M. mercenaria,B-LT,N/A,Colchester BC and Maldon,B13AE,Old Hall Creek,England
Declassified,Blakeney,Simpool Head,Mytilus spp.,N/A,2,North Norfolk DC,B006S,Simpool Head,England
Declassified,Blakeney,South Side,C. gigas,N/A,2,North Norfolk DC,B006T,South Side,England
Declassified,Camel,Ball Hill,Mytilus spp.,N/A,N/A,Cornwall PHA/Cornwall CC,B35AI,Ball Hill Relay,England
Declassified,Car y Mor,Carn ar Wig,Pecten Maximus,N/A,7,Pembrokeshire CC,B097C,Carn ar Wig,Wales
Declassified,Car y Mor,Porthllisky,Pecten Maximus,N/A,7,Pembrokeshire CC,B097F,Porthllisky,Wales
Declassified,Chichester Harbour,Thorney,O. edulis,N/A,7,Chichester DC,B018H,Thorney Outfall (O.ed),England
Declassified,Chichester Harbour,Emsworth Channel,O. edulis,N/A,7,Havant BC,B018M,Emsworth,England
Declassified,Deben,Spinny Marsh,C. gigas,N/A,7,Suffolk Coastal DC,B010G,Spinny Marsh,England
Declassified,Deben,Girlings Hard,Mytilus spp.,N/A,7,Suffolk Coastal DC,B010O,Stonner Point,England
Declassified,Deben,Girlings Hard,O. edulis,N/A,7,Suffolk Coastal DC,B010O,Stonner Point,England
Declassified,Deben,Girlings Hard,C. gigas,N/A,7,Suffolk Coastal DC,B010O,Stonner Point,England
Declassified,Deben,Shottisham Creek,C. gigas,N/A,7,Suffolk Coastal DC,B010O,Stonner Point,England
Declassified,Deben,Shottisham Creek,Mytilus spp.,N/A,7,Suffolk Coastal DC,B010O,Stonner Point,England
Declassified,Deben,Stonner Point,C. gigas,N/A,7,Suffolk Coastal DC,B010O,Stonner Point,England
Declassified,Deben,Stonner Point,Mytilus spp.,N/A,7,Suffolk Coastal DC,B010O,Stonner Point,England
Declassified,Dee,Mostyn & Talacre,C. edule,N/A,7,Flintshire CC ,B45AC,Mostyn/Talacre (C. ed),Wales
Declassified,Duddon,Duddon Sands,Mytilus spp.,N/A,2,Barrow-in-Furness BC,B052D,Duddon Channel,England
Declassified,Exe,Sandy Bay,S. solida,N/A,7,Teignbridge DC and East Devon DC,B26BJ,Exe West,England
Declassified,Fal (Lower),Falmouth Wharves,C. gigas,N/A,7,Cornwall PHA,B033X,Falmouth Wharves,England
Declassified,Fal (Lower),Falmouth Wharves,O. edulis,N/A,7,Cornwall PHA,B033X,Falmouth Wharves,England
Declassified,Menai Straits - West,Area 11,C. gigas,N/A,7,Gwynedd CC,B042R,Area 11  ,Wales
Declassified,North Kent Coast,Hampton Pier,Mytilus spp.,N/A,2,Canterbury CC,B17BD,Hampton Pier,England
Declassified,North Kent Coast,Off Leysdown,O. edulis,N/A,7,Canterbury CC,B17BF,Off Leysdown (O.ed),England
Declassified,North Kent Coast,Hampton Pier,O. edulis,N/A,2,Canterbury CC,B17CB,Hampton Pier,England
Declassified,North Kent Coast,Hampton Pier,C. gigas,N/A,2,Canterbury CC,B17CB,Hampton Pier,England
Declassified,North Kent Coast,Swalecliffe,Mytilus spp.,N/A,2,Canterbury CC,B17CC,Swalecliffe,England
Declassified,North Kent Coast,Swalecliffe,C. gigas,N/A,2,Canterbury CC,B17CC,Swalecliffe,England
Declassified,Portland ,Site A Mussels,Mytilus spp.,N/A,7,Dorset Council,B25AK,Site A (Mytilus spp.),England
Declassified,Portland ,Site A,C. gigas,N/A,7,Dorset Council,B25AL,Site A (C.gigas),England
Declassified,Portland ,Site A King Scallops,Pecten Maximus,N/A,7,Weymouth PHA,B25AM,Site A King Scallops (P.ma),England
Declassified,Roach,Inner Roach,Mytilus spp.,B,4,London PHA,B73AB,Barton Hall,England
Declassified,Roach,Barlinghall Creek,Mytilus spp.,B,4,London PHA,B73AD,Barling Hall,England
Declassified,Roach,Middleway,Mytilus spp.,N/A,7,London PHA,B73AE,Rushey Island,England
Declassified,Silloth,Silloth South (Lees Scar),Mytilus spp.,N/A,2,Allerdale BC,B059L,Lees Scar,England
Declassified,Silloth,Dubmill Scar,C. gigas,N/A,2,Allerdale BC,B059Q,Dubmill Oysters 2,England
Declassified,Start Bay,Slapton,S. solida,N/A,2,South Hams DC,B087J,Off Torcross,England
Declassified,West Mersea,Old Hall Creek (Tapes spp.),Tapes spp.,N/A,7,Colchester BC and Maldon,B13AK,Old Hall Creek (t.spp),England
Declassified,Yealm,Fox Cove,C. gigas,N/A,7,Plymouth PHA,B031E,Fox Cove (C.gi),England
Declassified,Yealm,Thorn,C. gigas,N/A,7,Plymouth PHA,B031J,Thorn (C.gi),England
Prohibited,Beaulieu River,Bailey’s Hard (all species),N/A,N/A,N/A,New Forest DC,B023E,Bailey's Hard (T.sp),England
Prohibited,Chichester Harbour,Prinstead (all species),N/A,N/A,N/A,Chichester DC,B018P,Hambrook ,England
Prohibited,Dee,Thurstaston East (all species),N/A,N/A,N/A,Wirral BC,B045G,Thurstaston - East (C),England
Prohibited,Fal (Lower),Turnaware Point Relay (Upper zone) (All species),N/A,N/A,N/A,Cornwall PHA,B33BJ,Turnaware Point (M),England
Prohibited,Fowey,Wisemans (all species),N/A,N/A,N/A,Cornwall PHA,B070Z,Wisemans (M.sp),England
Prohibited,Liverpool Bay,Mersey (Wallasey) (all species),N/A,N/A,N/A,Mersey PHA,B085B,Tobin Street,England
Prohibited,Medina,Dodnor (all species),N/A,N/A,N/A,Isle of Wight Council,B063F,Fairlee Station Outfall,England
Prohibited,Morecambe Bay - Roosebeck,Aldingham,N/A,N/A,N/A,"South Lakeland DC, Barrow-in-Furness BC",B48BA,Ulverston Sands,England
Prohibited,Plymouth,Plym – All beds,N/A,N/A,N/A,Plymouth PHA,B32AC,South of Laira Bridge / Martins Wharfe ,England
Prohibited,Plymouth,Tamar – All beds above Henn Point (all species),N/A,N/A,N/A,Plymouth PHA,B32AE,Tamar - Henn Point (M) ,England
Prohibited,Poole Harbour,Lytchett Bay (all species),N/A,N/A,N/A,Poole BC,B54AM,Lytchett Bay,England
Prohibited,Portsmouth Harbour,Paulsgrove and Portchester (Tapes spp and C.edule),N/A,N/A,N/A,Portsmouth PHA,B020J,Paulsgrove (T.spp),England
Prohibited,Portsmouth Harbour,Fareham Lake Middle (all species),N/A,N/A,N/A,Portsmouth PHA,B020V,Fareham Lake Middle,England
Prohibited,Portsmouth Harbour,Fareham Lake Middle (all species),N/A,N/A,N/A,Portsmouth PHA,B020V,Fareham Lake Middle,England
Prohibited,Ribble,Ribble Channel (all species),N/A,N/A,N/A,Fylde BC,B046X,Ribble Channel (M),England
Prohibited,Silloth,Silloth South (Catherinehole Scar) (all species),N/A,N/A,N/A,Allerdale BC,B059M,Catherinehole Scar,England
Prohibited,Southampton Water,Itchen River (all species),N/A,N/A,N/A,Southampton PHA ,"B021Q
B021R","Itchen 1 (clj)
Itchen 2 (clj)",England
Prohibited,Southampton Water,Eling (all species),N/A,N/A,N/A,Southampton PHA ,B21AV,Eling (tapes),England
Prohibited,Swansea Bay,Queen’s Dock,N/A,N/A,N/A,Swansea PHA,B037U,Queens Dock (M.spp),Wales